Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910216986429|Магазин «SEVAL» (г. Алушта, ул. Виноградная, 5А)|16,30|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9111003109|Магазин «АБСОЛЮТ» (пгт. Ленино, ул. Пушкина, 69Б)|339,49|120,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910906104306|Магазин «АВИЗ» (Симферопольский р н, с. Строгоновка, ул. Амет Хан Султан, 1А)|427,59|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911000130980|Магазин «Автобусная остановка» (г. Евпатория, пгт. Заозерное, ул. Гайдара, д. 65)|60,33|61,64|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910508420800|Магазин «Автолюкс» (г. Джанкой, ул. Московская, 100д)|85,15|46,96|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920300046606|Магазин «АВТООРИГИНАЛ» (г. Севастополь, ул. Шабалина, 17/2)|37,50|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920400118999|Магазин «АВТОПРИОРИТЕТ» (г. Севастополь, ул. Хрусталёва, д. 62)|273,55|109,03|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920400160221|Магазин «АВТОПРИОРИТЕТ» (г. Севастополь, Городское шоссе, 23)|307,18|286,42|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910800191309|Магазин «Автохаус» (г. Феодосия, ул. Маяковского,5)|68,28|49,26|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910228152604|Магазин «Азбука» (г. Симферополь, ул. Киевская, 153Б)|121,57|317,31|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9108011727|Магазин «Акрополь» (г. Феодосия, ул. Гарнаева,77а)|305,43|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9109007258|Магазин «Алкомаркет» (г. Старый Крым, ул. Чапаева, 22)|171,11|62,65|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910503314090|Магазин «Аракс» (Джанкойский р н, пгт. Вольное, ул. Токарева, 18)|947,14|1374,93|0,00|
